13,17,25,35,48
8,12,35,42,46
1,18,37,44,47
11,16,22,24,37
1,23,29,35,47
10,13,15,22,31
3,18,21,27,34
4,18,28,40,42
5,9,10,13,17
4,16,23,27,38
1,6,7,24,43
9,14,21,24,46
3,10,20,29,37
2,17,23,24,40
17,38,41,44,46
7,18,27,31,39
2,12,22,26,32
25,26,28,40,43
25,26,28,40,43
8,12,15,32,36
8,13,21,36,41
8,12,24,29,47
6,12,22,30,33
8,9,14,24,41
18,20,25,26,29
8,11,13,16,45
14,30,31,36,40
16,17,32,40,47
2,22,23,37,43
21,34,40,44,47
13,28,42,46,48
1,16,18,32,33
2,8,13,21,48
2,8,13,21,48
1,11,27,36,39
12,15,19,32,41
3,11,14,16,19
3,9,39,43,46
1,5,9,22,38
12,20,22,31,42
7,20,30,42,48
1,15,20,36,45
6,14,19,33,48
1,7,25,35,39
6,20,23,42,48
6,31,34,38,44
5,12,41,43,47
11,20,38,40,42
7,21,22,24,38
2,15,18,21,33
10,11,36,38,48
8,12,18,31,32
3,8,38,39,45
6,7,26,34,38
20,35,38,39,46
2,12,29,43,45
1,8,14,20,42
14,21,24,30,36
5,30,34,37,45
13,15,22,25,33
10,11,32,41,48
15,23,35,36,45
1,13,20,37,40
1,6,9,18,30
7,19,24,38,44
1,14,15,27,43
19,22,32,36,47
14,21,27,45,47
15,18,42,44,47
8,11,14,37,42
2,4,23,29,35
2,10,15,17,35
4,12,22,39,46
8,13,14,16,17
29,31,32,41,46
16,20,37,38,47
11,24,35,41,42
19,35,38,41,44
2,17,23,24,45
1,2,10,28,45
17,20,35,40,48
4,14,21,39,44
4,8,17,29,47
18,31,33,36,42
5,13,18,24,28
5,6,12,25,29
8,32,35,39,40
15,29,43,44,48
7,17,20,31,34
2,8,20,30,42
2,9,36,45,46
1,17,19,30,37
1,17,24,30,44
7,21,36,38,43
2,14,23,37,48
9,15,16,17,23
9,26,32,33,46
9,19,24,39,47
11,15,21,25,26
3,18,24,25,27
4,12,23,44,46
2,14,21,30,46
30,31,32,41,48
16,17,19,25,40
2,7,18,37,42
15,18,36,37,45
3,19,35,39,40
1,15,17,25,46
2,19,39,41,43
9,12,32,33,44
14,15,20,30,31
7,15,17,21,27
17,24,35,40,47
20,29,30,36,37
4,5,11,43,48
14,23,38,39,41
33,34,37,43,47
5,11,15,30,47
3,15,27,37,42
7,8,10,41,45
5,14,18,20,24
3,18,23,32,42
15,19,24,36,47
3,10,22,38,40
2,10,29,35,37
14,18,25,34,43
2,16,22,34,46
9,14,36,42,45
31,33,34,42,48
9,15,22,31,39
2,4,5,32,33
3,9,14,23,48
17,27,34,43,47
5,18,37,38,43
16,30,34,37,40
3,4,31,35,38
4,12,34,41,47
16,23,31,38,39
1,5,6,18,39
1,2,9,17,18
5,12,17,23,25
8,18,21,27,29
23,28,30,36,41
11,17,27,33,38
7,8,38,42,47
10,12,16,40,43
5,20,34,38,48
6,8,31,32,41
8,19,20,21,48
3,20,24,32,37
13,19,23,36,48
15,18,24,27,31
24,25,28,32,42
16,26,29,46,47
3,7,20,25,28
2,5,13,34,46
3,12,14,15,47
10,24,35,39,44
7,26,32,38,39
6,27,28,38,39
6,13,35,43,47
10,11,19,25,29
1,12,13,30,38
15,19,27,38,46
4,9,33,46,48
3,13,20,21,46
11,31,32,39,46
6,10,34,37,38
4,9,14,24,37
5,6,16,31,48
7,9,30,39,46
3,6,12,16,38
28,33,41,44,47
10,11,20,29,36
3,7,22,26,30
8,21,25,34,36
7,12,14,24,44
3,12,27,40,43
3,8,11,15,36
1,9,29,39,43
4,15,22,26,32
5,7,31,32,40
8,15,17,24,26
3,20,26,44,46
11,13,40,41,42
7,12,27,34,42
3,9,15,19,28
13,21,37,40,44
17,34,36,37,39
7,20,34,39,48
3,5,29,35,42
6,27,31,39,48
4,27,36,39,40
9,11,30,35,37
3,5,26,32,45
8,9,23,24,37
8,15,18,19,42
5,11,19,40,46
2,11,25,29,33
28,29,31,35,43
10,13,27,47,48
8,12,23,41,42
1,5,10,32,37
5,12,20,39,45
3,24,38,39,47
6,10,34,35,43
7,10,22,44,45
3,22,25,40,41
4,16,35,37,39
3,11,23,38,42
6,7,19,20,27
3,4,12,22,38
3,6,22,23,46
2,10,16,17,27
1,7,18,35,40
26,27,34,35,37
2,10,28,38,39
6,13,24,30,34
9,10,17,31,41
14,19,37,45,48
18,19,30,32,36
1,29,33,46,48
2,7,12,30,39
4,9,11,12,39
2,12,22,37,38
7,17,20,35,47
6,11,15,33,44
11,16,34,35,37
3,5,14,30,45
4,12,25,42,48
15,21,23,25,28
16,18,20,43,44
15,20,24,27,36
3,7,21,40,46
4,21,28,30,45
12,23,29,32,40
1,13,29,35,43
3,6,10,31,36
14,15,20,22,39
1,14,20,31,42
7,8,22,31,42
2,6,29,34,47
28,36,39,44,45
6,19,22,25,31
7,9,14,27,37
12,28,30,32,39
2,31,39,44,48
1,13,29,42,46
15,25,42,46,47
17,22,34,36,38
4,15,37,42,43
8,14,24,33,34
4,6,29,36,37
15,18,24,30,34
9,13,18,34,37
1,10,14,17,19
4,14,17,20,23
7,18,20,21,27
1,5,15,38,40
8,9,17,26,27
5,7,11,14,43
2,8,19,39,46
5,11,37,45,48
15,17,23,27,40
4,16,26,35,37
2,7,10,14,32
1,12,20,28,38
20,21,25,27,30
3,19,38,41,42
1,13,21,23,38
3,7,23,25,38
10,11,15,41,44
3,11,13,40,42
5,10,22,33,35
20,24,30,32,42
8,9,16,31,37
16,22,23,33,35
21,29,31,40,42
3,20,30,32,47
26,28,32,36,41
16,25,35,38,42
18,20,22,23,47
6,26,35,47,48
12,18,38,40,42
13,19,32,34,36
3,8,12,17,42
7,21,31,35,47
2,8,9,38,44
9,27,28,45,47
8,11,26,27,43
2,4,15,40,48
3,25,30,34,42
15,16,23,28,43
11,21,34,35,38
13,17,27,35,38
1,5,20,22,35
12,13,17,20,29
16,23,25,45,46
13,26,35,36,46
12,13,36,37,38
8,11,18,24,44
8,10,32,35,47
1,28,31,36,48
16,37,42,46,48
1,15,32,34,37
10,13,16,30,48
26,32,33,41,43
2,5,24,38,46
6,10,13,36,43
31,34,43,44,47
3,12,23,41,42
6,30,33,36,37
23,36,39,44,48
4,5,17,21,34
8,13,29,31,40
9,13,17,19,35
12,18,24,27,34
2,8,11,14,45
3,10,13,14,47
8,15,16,27,35
1,3,14,38,48
6,10,14,33,40
2,4,23,41,44
17,37,39,44,48
2,7,8,22,46
14,28,37,39,42
2,19,20,28,42
4,9,10,12,24
25,35,46,47,48
1,6,20,23,48
